scenario,replication,bridge_id,bridge_name,road,total_delay_min,breakdown_count
S2,0,512,Bridge start,N1,0,0
S2,0,513,Bridge end,N1,0,0
S2,0,514,Bridge start,N1,0,0
S2,0,515,Bridge end,N1,0,0
S2,0,518,Bridge start,N1,0,0
S2,0,519,Bridge end,N1,0,0
S2,0,524,Bridge start,N1,0,0
S2,0,525,Bridge end,N1,0,0
S2,0,530,Bridge start,N1,0,0
S2,0,531,Bridge end,N1,22607,1
S2,0,534,Bridge start,N1,0,0
S2,0,535,Bridge end,N1,0,0
S2,0,538,Bridge start,N1,0,0
S2,0,539,Bridge end,N1,20272,1
S2,0,542,Bridge start,N1,0,0
S2,0,543,Bridge end,N1,0,0
S2,0,550,Bridge start,N1,0,0
S2,0,551,Bridge end,N1,0,0
S2,0,555,Bridge start,N1,0,0
S2,0,556,Bridge end,N1,0,0
S2,0,560,Bridge start,N1,0,0
S2,0,561,Bridge end,N1,0,0
S2,0,569,Bridge start,N1,49662,1
S2,0,570,Bridge end,N1,0,0
S2,0,572,Bridge start,N1,86201,1
S2,0,573,Bridge end,N1,0,0
S2,0,575,Bridge start,N1,0,0
S2,0,576,Bridge end,N1,0,0
S2,0,577,Bridge start,N1,0,0
S2,0,578,Bridge end,N1,0,0
S2,0,580,Shah Amanath (Karnaphuli) Bridge,N1,0,0
S2,0,582,Bridge end,N1,0,0
S2,0,583,Bridge start,N1,0,0
S2,0,584,Bridge end,N1,0,0
S2,0,598,Bridge start,N1,0,0
S2,0,600,Bridge end,N1,0,0
S2,0,622,Bridge start,N1,57964,1
S2,0,623,Bridge end,N1,0,0
S2,0,633,Bridge start,N1,0,0
S2,0,634,Bridge end,N1,0,0
S2,0,642,Bridge start,N1,53807,1
S2,0,643,Bridge end,N1,0,0
S2,0,655,Bridge start,N1,0,0
S2,0,656,Bridge end,N1,0,0
S2,0,658,Bridge start,N1,0,0
S2,0,659,Bridge end,N1,0,0
S2,0,665,Bridge start,N1,83178,1
