truck_id,source_id,source_road,generated_at_step,removed_at_step,travel_time_min,travel_distance_m,sink_id,sink_road,scenario,replication
Truck201,1709,N104,72,129,57,45539.23563910388,1587,N104,S0,0
Truck225,1826,N105,84,129,45,35419.96612285012,2346,N2,S0,0
Truck156,1710,N105,57,132,75,59502.63224849072,1356,N102,S0,0
Truck239,1826,N105,87,132,45,35419.96612285012,2346,N2,S0,0
Truck131,1574,N102,48,133,85,67954.89974603387,1356,N102,S0,0
Truck207,1826,N105,75,133,58,46164.99061658157,1710,N105,S0,0
Truck217,1709,N104,78,135,57,45539.23563910388,1587,N104,S0,0
Truck243,1826,N105,90,135,45,35419.96612285012,2346,N2,S0,0
Truck332,0,N1,120,135,15,11286.841911431562,1710,N105,S0,0
Truck87,3231,N2,30,136,106,84651.50366666683,3346,N207,S0,0
Truck267,3329,N204,96,136,40,31360.076986546203,3237,N204,S0,0
Truck290,1356,N102,108,137,29,22927.92176443006,3237,N204,S0,0
Truck298,3237,N204,108,137,29,22927.921764430062,1356,N102,S0,0
Truck167,3511,N207,60,138,78,61712.07469908522,3346,N207,S0,0
Truck253,1826,N105,93,138,45,35419.96612285012,2346,N2,S0,0
Truck358,3346,N207,132,138,6,4778.025000000019,3237,N204,S0,0
Truck149,1574,N102,54,139,85,67954.89974603387,1356,N102,S0,0
Truck144,0,N1,51,140,89,70624.47415992228,1356,N102,S0,0
Truck233,1709,N104,84,141,57,45539.23563910388,1587,N104,S0,0
Truck257,1826,N105,96,141,45,35419.96612285012,2346,N2,S0,0
Truck101,3231,N2,36,142,106,84651.50366666683,3346,N207,S0,0
Truck102,3346,N207,36,142,106,84395.50366666674,3231,N2,S0,0
Truck188,1710,N105,69,144,75,59502.63224849072,1356,N102,S0,0
Truck238,1710,N105,87,144,57,45559.99061658157,1826,N105,S0,0
Truck271,1826,N105,99,144,45,35419.96612285012,2346,N2,S0,0
Truck350,0,N1,129,144,15,11286.841911431562,1710,N105,S0,0
Truck163,1574,N102,60,145,85,67954.89974603387,1356,N102,S0,0
Truck180,1356,N102,66,145,79,62522.65011580461,2346,N2,S0,0
Truck368,0,N1,135,146,11,8361.824044117646,2346,N2,S0,0
Truck194,1356,N102,72,147,75,59502.63224849069,1710,N105,S0,0
Truck242,1710,N105,90,147,57,45559.99061658157,1826,N105,S0,0
Truck249,1709,N104,90,147,57,45539.23563910388,1587,N104,S0,0
Truck275,1826,N105,102,147,45,35419.96612285012,2346,N2,S0,0
Truck119,3231,N2,42,148,106,84651.50366666683,3346,N207,S0,0
Truck299,3329,N204,108,148,40,31360.076986546203,3237,N204,S0,0
Truck199,3511,N207,72,150,78,61712.07469908522,3346,N207,S0,0
Truck366,1710,N105,135,150,15,11286.841911431562,0,N1,S0,0
Truck390,3346,N207,144,150,6,4778.025000000019,3237,N204,S0,0
Truck181,1574,N102,66,151,85,67954.89974603387,1356,N102,S0,0
Truck382,0,N1,141,152,11,8361.824044117646,2346,N2,S0,0
Truck210,1710,N105,78,153,75,59502.63224849072,1356,N102,S0,0
Truck265,1709,N104,96,153,57,45539.23563910388,1587,N104,S0,0
Truck289,1826,N105,108,153,45,35419.96612285012,2346,N2,S0,0
Truck370,1710,N105,138,153,15,11286.841911431562,0,N1,S0,0
Truck378,0,N1,138,153,15,11286.841911431562,1710,N105,S0,0
Truck133,3231,N2,48,154,106,84651.50366666683,3346,N207,S0,0
Truck402,1710,N105,150,154,4,3185.0178673139153,2346,N2,S0,0
Truck186,0,N1,66,155,89,70624.47415992228,1356,N102,S0,0
Truck396,0,N1,144,155,11,8361.824044117646,2346,N2,S0,0
Truck303,1826,N105,111,156,45,35419.96612285012,2346,N2,S0,0
Truck24,1587,N104,6,157,151,120750.32294841637,2346,N2,S0,0
Truck195,1574,N102,72,157,85,67954.89974603387,1356,N102,S0,0
Truck212,1356,N102,78,157,79,62522.65011580461,2346,N2,S0,0
Truck281,1709,N104,102,159,57,45539.23563910388,1587,N104,S0,0
Truck307,1826,N105,114,159,45,35419.96612285012,2346,N2,S0,0
Truck151,3231,N2,54,160,106,84651.50366666683,3346,N207,S0,0
Truck330,3237,N204,120,160,40,31226.076986546213,3329,N204,S0,0
Truck331,3329,N204,120,160,40,31360.076986546203,3237,N204,S0,0
Truck362,3237,N204,132,161,29,22927.921764430062,1356,N102,S0,0
Truck231,3511,N207,84,162,78,61712.07469908522,3346,N207,S0,0
Truck317,1826,N105,117,162,45,35419.96612285012,2346,N2,S0,0
Truck400,0,N1,147,162,15,11286.841911431562,1710,N105,S0,0
Truck422,3346,N207,156,162,6,4778.025000000019,3237,N204,S0,0
Truck213,1574,N102,78,163,85,67954.89974603387,1356,N102,S0,0
Truck244,1356,N102,90,163,73,58244.67283261179,1587,N104,S0,0
Truck285,1826,N105,105,163,58,46164.99061658157,1710,N105,S0,0
Truck414,0,N1,153,164,11,8361.824044117646,2346,N2,S0,0
Truck288,1710,N105,108,165,57,45559.99061658157,1826,N105,S0,0
Truck297,1709,N104,108,165,57,45539.23563910388,1587,N104,S0,0
Truck165,3231,N2,60,166,106,84651.50366666683,3346,N207,S0,0
Truck218,0,N1,78,167,89,70624.47415992228,1356,N102,S0,0
Truck428,0,N1,156,167,11,8361.824044117646,2346,N2,S0,0
Truck302,1710,N105,111,168,57,45559.99061658157,1826,N105,S0,0
Truck227,1574,N102,84,169,85,67954.89974603387,1356,N102,S0,0
Truck264,1587,N104,96,169,73,58244.67283261178,1356,N102,S0,0
Truck30,0,N1,9,171,162,128852.14699253405,1587,N104,S0,0
Truck256,1710,N105,96,171,75,59502.63224849072,1356,N102,S0,0
Truck313,1709,N104,114,171,57,45539.23563910388,1587,N104,S0,0
Truck339,1826,N105,126,171,45,35419.96612285012,2346,N2,S0,0
Truck183,3231,N2,66,172,106,84651.50366666683,3346,N207,S0,0
Truck363,3329,N204,132,172,40,31360.076986546203,3237,N204,S0,0
Truck226,1356,N102,84,173,89,70624.47415992226,0,N1,S0,0
Truck394,3237,N204,144,173,29,22927.921764430062,1356,N102,S0,0
Truck263,3511,N207,96,174,78,61712.07469908522,3346,N207,S0,0
Truck270,1710,N105,99,174,75,59502.63224849072,1356,N102,S0,0
Truck316,1710,N105,117,174,57,45559.99061658157,1826,N105,S0,0
Truck349,1826,N105,129,174,45,35419.96612285012,2346,N2,S0,0
Truck454,3346,N207,168,174,6,4778.025000000019,3237,N204,S0,0
Truck245,1574,N102,90,175,85,67954.89974603387,1356,N102,S0,0
Truck329,1709,N104,120,177,57,45539.23563910388,1587,N104,S0,0
Truck442,0,N1,162,177,15,11286.841911431562,1710,N105,S0,0
Truck197,3231,N2,72,178,106,84651.50366666683,3346,N207,S0,0
Truck321,1826,N105,120,178,58,46164.99061658157,1710,N105,S0,0
Truck284,1710,N105,105,180,75,59502.63224849072,1356,N102,S0,0
Truck367,1826,N105,135,180,45,35419.96612285012,2346,N2,S0,0
Truck88,1587,N104,30,181,151,120750.32294841637,2346,N2,S0,0
Truck258,1356,N102,96,181,85,67405.89974603386,1574,N102,S0,0
Truck259,1574,N102,96,181,85,67954.89974603387,1356,N102,S0,0
Truck276,1356,N102,102,181,79,62522.65011580461,2346,N2,S0,0
Truck335,1826,N105,123,181,58,46164.99061658157,1710,N105,S0,0
Truck464,0,N1,171,182,11,8361.824044117646,2346,N2,S0,0
Truck338,1710,N105,126,183,57,45559.99061658157,1826,N105,S0,0
Truck344,1587,N104,126,183,57,45419.235639103885,1709,N104,S0,0
Truck345,1709,N104,126,183,57,45539.23563910388,1587,N104,S0,0
Truck371,1826,N105,138,183,45,35419.96612285012,2346,N2,S0,0
Truck395,3329,N204,144,184,40,31360.076986546203,3237,N204,S0,0
Truck426,3237,N204,156,185,29,22927.921764430062,1356,N102,S0,0
Truck470,2346,N2,174,185,11,8361.824044117648,0,N1,S0,0
Truck474,0,N1,174,185,11,8361.824044117646,2346,N2,S0,0
Truck295,3511,N207,108,186,78,61712.07469908522,3346,N207,S0,0
Truck348,1710,N105,129,186,57,45559.99061658157,1826,N105,S0,0
Truck381,1826,N105,141,186,45,35419.96612285012,2346,N2,S0,0
Truck486,3346,N207,180,186,6,4778.025000000019,3237,N204,S0,0
Truck277,1574,N102,102,187,85,67954.89974603387,1356,N102,S0,0
Truck272,0,N1,99,188,89,70624.47415992228,1356,N102,S0,0
Truck361,1709,N104,132,189,57,45539.23563910388,1587,N104,S0,0
Truck385,1826,N105,144,189,45,35419.96612285012,2346,N2,S0,0
Truck229,3231,N2,84,190,106,84651.50366666683,3346,N207,S0,0
Truck353,1826,N105,132,190,58,46164.99061658157,1710,N105,S0,0
Truck502,2346,N2,186,190,4,3185.017867313915,1710,N105,S0,0
Truck282,0,N1,102,191,89,70624.47415992228,1356,N102,S0,0
Truck476,1710,N105,177,192,15,11286.841911431562,0,N1,S0,0
Truck478,0,N1,177,192,15,11286.841911431562,1710,N105,S0,0
Truck291,1574,N102,108,193,85,67954.89974603387,1356,N102,S0,0
Truck308,1356,N102,114,193,79,62522.65011580461,2346,N2,S0,0
Truck286,0,N1,105,194,89,70624.47415992228,1356,N102,S0,0
Truck94,0,N1,33,195,162,128852.14699253405,1587,N104,S0,0
Truck322,1356,N102,120,195,75,59502.63224849069,1710,N105,S0,0
Truck377,1709,N104,138,195,57,45539.23563910388,1587,N104,S0,0
Truck403,1826,N105,150,195,45,35419.96612285012,2346,N2,S0,0
Truck247,3231,N2,90,196,106,84651.50366666683,3346,N207,S0,0
Truck427,3329,N204,156,196,40,31360.076986546203,3237,N204,S0,0
Truck450,1356,N102,168,197,29,22927.92176443006,3237,N204,S0,0
Truck458,3237,N204,168,197,29,22927.921764430062,1356,N102,S0,0
Truck327,3511,N207,120,198,78,61712.07469908522,3346,N207,S0,0
Truck413,1826,N105,153,198,45,35419.96612285012,2346,N2,S0,0
Truck518,3346,N207,192,198,6,4778.025000000019,3237,N204,S0,0
Truck309,1574,N102,114,199,85,67954.89974603387,1356,N102,S0,0
Truck420,2346,N2,156,200,44,34814.96612285012,1826,N105,S0,0
Truck340,1356,N102,126,201,75,59502.63224849069,1710,N105,S0,0
Truck393,1709,N104,144,201,57,45539.23563910388,1587,N104,S0,0
Truck417,1826,N105,156,201,45,35419.96612285012,2346,N2,S0,0
Truck146,1710,N105,54,202,148,117730.30508110247,1587,N104,S0,0
Truck261,3231,N2,96,202,106,84651.50366666683,3346,N207,S0,0
Truck431,1826,N105,159,204,45,35419.96612285012,2346,N2,S0,0
Truck510,0,N1,189,204,15,11286.841911431562,1710,N105,S0,0
Truck152,1587,N104,54,205,151,120750.32294841637,2346,N2,S0,0
Truck323,1574,N102,120,205,85,67954.89974603387,1356,N102,S0,0
Truck342,2346,N2,126,205,79,62522.65011580468,1356,N102,S0,0
Truck399,1826,N105,147,205,58,46164.99061658157,1710,N105,S0,0
Truck352,1710,N105,132,207,75,59502.63224849072,1356,N102,S0,0
Truck409,1709,N104,150,207,57,45539.23563910388,1587,N104,S0,0
Truck435,1826,N105,162,207,45,35419.96612285012,2346,N2,S0,0
Truck279,3231,N2,102,208,106,84651.50366666683,3346,N207,S0,0
Truck459,3329,N204,168,208,40,31360.076986546203,3237,N204,S0,0
Truck490,3237,N204,180,209,29,22927.921764430062,1356,N102,S0,0
Truck359,3511,N207,132,210,78,61712.07469908522,3346,N207,S0,0
Truck412,1710,N105,153,210,57,45559.99061658157,1826,N105,S0,0
Truck445,1826,N105,165,210,45,35419.96612285012,2346,N2,S0,0
Truck528,0,N1,195,210,15,11286.841911431562,1710,N105,S0,0
Truck550,3346,N207,204,210,6,4778.025000000019,3237,N204,S0,0
Truck168,1587,N104,60,211,151,120750.32294841637,2346,N2,S0,0
Truck341,1574,N102,126,211,85,67954.89974603387,1356,N102,S0,0
Truck372,1356,N102,138,211,73,58244.67283261179,1587,N104,S0,0
Truck376,1587,N104,138,211,73,58244.67283261178,1356,N102,S0,0
Truck336,0,N1,123,212,89,70624.47415992228,1356,N102,S0,0
Truck425,1709,N104,156,213,57,45539.23563910388,1587,N104,S0,0
Truck530,1710,N105,198,213,15,11286.841911431562,0,N1,S0,0
Truck293,3231,N2,108,214,106,84651.50366666683,3346,N207,S0,0
Truck346,0,N1,126,215,89,70624.47415992228,1356,N102,S0,0
Truck556,0,N1,204,215,11,8361.824044117646,2346,N2,S0,0
Truck154,0,N1,54,216,162,128852.14699253405,1587,N104,S0,0
Truck463,1826,N105,171,216,45,35419.96612285012,2346,N2,S0,0
Truck355,1574,N102,132,217,85,67954.89974603387,1356,N102,S0,0
Truck392,1587,N104,144,217,73,58244.67283261178,1356,N102,S0,0
Truck384,1710,N105,144,219,75,59502.63224849072,1356,N102,S0,0
Truck441,1709,N104,162,219,57,45539.23563910388,1587,N104,S0,0
Truck467,1826,N105,174,219,45,35419.96612285012,2346,N2,S0,0
Truck311,3231,N2,114,220,106,84651.50366666683,3346,N207,S0,0
Truck491,3329,N204,180,220,40,31360.076986546203,3237,N204,S0,0
Truck354,1356,N102,132,221,89,70624.47415992226,0,N1,S0,0
Truck522,3237,N204,192,221,29,22927.921764430062,1356,N102,S0,0
Truck391,3511,N207,144,222,78,61712.07469908522,3346,N207,S0,0
Truck398,1710,N105,147,222,75,59502.63224849072,1356,N102,S0,0
Truck477,1826,N105,177,222,45,35419.96612285012,2346,N2,S0,0
Truck560,0,N1,207,222,15,11286.841911431562,1710,N105,S0,0
Truck582,3346,N207,216,222,6,4778.025000000019,3237,N204,S0,0
Truck206,1710,N105,75,223,148,117730.30508110247,1587,N104,S0,0
Truck373,1574,N102,138,223,85,67954.89974603387,1356,N102,S0,0
Truck386,1356,N102,144,223,79,62522.65011580461,2346,N2,S0,0
Truck388,2346,N2,144,223,79,62522.65011580468,1356,N102,S0,0
Truck457,1709,N104,168,225,57,45539.23563910388,1587,N104,S0,0
Truck481,1826,N105,180,225,45,35419.96612285012,2346,N2,S0,0
Truck325,3231,N2,120,226,106,84651.50366666683,3346,N207,S0,0
Truck449,1826,N105,168,226,58,46164.99061658157,1710,N105,S0,0
Truck580,2346,N2,216,227,11,8361.824044117648,0,N1,S0,0
Truck588,0,N1,216,227,11,8361.824044117646,2346,N2,S0,0
