road,chainage,lrp,lat,lon,gap,type,name,id,length,type_simple,LRPName,length_bmms,condition,name_bmms
R547,84.305,LRP084,24.8948052,88.4639722,,KmPost,Parbotipur Adda 5 km,15612,398.00000000001035,KmPost,,,,
R547,84.311,LRP084a,24.8950552,88.4639444,,Culvert,Box Culvert,15613,6.000000000000227,Culvert,LRP084a,6.122857142857143,D,KUTTAPARCA CULVERT
R547,85.22,LRP084b,24.888083,88.4588611,,Culvert,Box Culvert,15614,908.9999999999918,Culvert,LRP084b,11.86,C,CHOTARA BOX CULVERT
R547,85.3,LRP085,24.8875552,88.4584444,,KmPost,Kansat 40 km,15615,79.9999999999983,KmPost,,,,
R547,85.978,LRP085a,24.8824438,88.4554167,,Culvert,Cross Drain,15616,677.9999999999973,Culvert,LRP085a,27.979166666666668,C,Khiro bridge
R547,86.3,LRP086,24.8795827,88.4538889,,KmPost,Kansat 39 km,15617,322.00000000000273,KmPost,,,,
R547,87.077,LRP086a,24.8733882,88.4502222,,Culvert,Box culvert,15618,777.000000000001,Culvert,LRP086a,17.361428571428572,C,KATIADE RCC GIDER BRIDGE
R547,87.35,LRP087,24.8711382,88.4489719,,KmPost,Kansat 38 km,15619,272.99999999999613,KmPost,,,,
R547,88.112,LRP087a,24.8639722,88.4459163,,Culvert,Slab Culvert,15620,762.0000000000005,Culvert,LRP087a,17.881999999999998,C,GURAICHARI
R547,88.265,LRP087b,24.8640833,88.4453608,,Culvert,Box Culvert,15621,153.0000000000058,Culvert,LRP087b,5.2,A,.
R547,88.35,LRP088,24.8631111,88.4449163,,KmPost,"Adda 0 km,Kansat 37 km",15622,84.99999999999375,KmPost,,,,
R547,88.77,LRP088a,24.8595,88.4438052,,"SideRoad,Left",Left to Dhansura Z 6812,15623,420.0000000000017,"SideRoad,Left",LRP088a,25.37357142857143,D,DHANPUR RCC GIDER BRIDGE
R547,89.37,LRP089,24.8597222,88.4379441,,KmPost,Kansat 36 km,15624,600.0000000000085,KmPost,,,,
R547,89.952,LRP089a,24.8586111,88.4321382,,Culvert,Slab culvert,15625,581.9999999999936,Culvert,LRP089a,13.438181818181818,B,Raboa Bridge
R547,90.176,LRP089b,24.8582778,88.4303049,,Culvert,Slab Culvert,15626,224.00000000000375,Culvert,LRP089b,5.84,A,.
R547,90.365,LRP090,24.8577222,88.4284716,,KmPost,Info missing,15627,188.99999999999295,KmPost,,,,
R547,90.593,LRP090a,24.8565833,88.4267771,,Culvert,Brick Machinary Culvert,15628,228.00000000000864,Culvert,LRP090a,27.761999999999997,D,Ahmedpur Bridge
R547,90.887,LRP090b,24.8553611,88.4242216,,Culvert,Brick Machinary Culvert,15629,293.99999999999693,Culvert,LRP090b,4.699999999999999,C,COLLAGE GATE BRIDGE
R547,91.36,LRP091,24.8535833,88.4194993,,KmPost,Kansat 34 km,15630,472.999999999999,KmPost,,,,
R547,92.164,LRP091a,24.8505556,88.4128611,,Culvert,Brick Machinary Culvert,15631,804.000000000002,Culvert,LRP091a,17.831249999999997,C,.
R547,92.405,LRP092,24.8497219,88.4106944,,KmPost,Kansat 33 km,15632,240.99999999999966,KmPost,,,,
R547,92.627,LRP092a,24.8492774,88.4085833,,Culvert,Brick Machinary Culvert,15633,221.9999999999942,Culvert,LRP092a,12.236,C,BARURA BOX CULVERT
R547,93.4,LRP093,24.8457219,88.4019722,,KmPost,Kansat 32 km,15634,773.0000000000103,KmPost,,,,
R547,94.4,LRP094,24.8419163,88.3929997,,KmPost,Kansat 31 km,15635,1000.0,KmPost,,,,
R547,95.4,LRP095,24.8394997,88.383333,,KmPost,Kansat 30 km,15636,1000.0,KmPost,,,,
R547,95.962,LRP095a,24.8394997,88.3783049,,Culvert,Brick Machinary Culvert,15637,561.9999999999976,Culvert,LRP095a,15.773333333333333,D,BOE SHASY BOX CULVERT
R547,96.39,LRP096,24.8381663,88.3736382,,KmPost,Kansat 29 km,15638,427.99999999999727,KmPost,,,,
R547,97.39,LRP097,24.8341941,88.3646111,,KmPost,Info missing,15639,1000.0,KmPost,,,,
R547,97.838,LRP097a,24.8330271,88.3617222,,Culvert,Box culvert,15640,447.9999999999933,Culvert,LRP097a,23.295454545454547,C,KATAKHALI BRIDGE
R547,98.38,LRP098,24.8307493,88.3556944,,KmPost,Kansat 27 km,15641,542.0000000000016,KmPost,,,,
R547,98.958,LRP098a,24.8291938,88.3512222,,Culvert,Box culvert,15642,578.000000000003,Culvert,LRP098a,21.831666666666663,C,RAZAPARA RCC GIDER BRIDGE
R547,99.39,LRP099,24.827416,88.3461108,,KmPost,Kansat 26 km,15643,432.00000000000216,KmPost,,,,
R547,99.926,LRP099a,24.8253049,88.3415552,,Culvert,Box culvert,15644,536.0000000000014,Culvert,LRP099a,10.292222222222223,C,.
R547,100.4,LRP100,24.8240827,88.3366663,,KmPost,Kansat 25 km,15645,474.00000000000375,KmPost,,,,
R547,100.788,LRP100a,24.8239438,88.333583,,Culvert,Slab Culvert,15646,387.999999999991,Culvert,LRP100a,17.14272727272727,C,Lohor Bridge
R547,100.985,LRPE,24.8238882,88.3315271,,Others,End at Khoar More of Rohonpur and  Connect Z 6802,15647,197.00000000000273,Others,,,,
R548,0.0,LRPS,24.8037778,88.9618056,,Others,"Start at Kathaltala more from R545, Naogaon",15648,0.0,Others,,,,
R548,1.0,LRP001,24.7951941,88.9598889,,KmPost,Atrai 28 km,15649,1000.0,KmPost,,,,
R548,1.465,LRP001a,24.7914163,88.95875,,Culvert,Box culvert,15650,465.00000000000006,Culvert,LRP001a,5.890000000000001,D,.
R548,1.904,LRP001b,24.7878052,88.9581389,,Culvert,Box culvert,15651,438.99999999999983,Culvert,LRP001b,9.194088397790054,D,Salehpur Bridge(right)
R548,2.01,LRP002,24.786833,88.9578333,,KmPost,Atrai 27 km,15652,105.99999999999987,KmPost,,,,
R548,3.02,LRP003,24.7780549,88.9575833,,KmPost,"Atrai 26 km,Raninagar 5 km",15653,1010.0000000000002,KmPost,,,,
R548,3.68,LRP003a,24.7722493,88.9579722,,Culvert,Box culvert,15654,660.0000000000001,Culvert,LRP003a,15.007563025210084,D,KODDA BRIDGE
R548,4.04,LRP004,24.7691382,88.9577778,,KmPost,Atrai 25 km,15655,359.9999999999999,KmPost,,,,
R548,5.103,LRP005,24.7615278,88.962,,KmPost,Atrai 24 km,15656,1062.9999999999998,KmPost,,,,
R548,5.23,LRP005a,24.7604444,88.962,BS,Bridge,Start of bridge,15657,6.0,Bridge,LRP005a,6.0,D,.
R548,5.25,LRP005b,24.7602222,88.962,BE,Bridge,End of bridge,15658,15.158609271523177,Bridge,LRP005b,15.158609271523177,D,THAHORIA CUL
R548,5.47,LRP005c,24.7583889,88.9627778,,Culvert,Box culvert,15659,219.99999999999974,Culvert,LRP005c,14.235142857142856,D,KAZI PARA
R548,6.03,LRP006,24.7536667,88.9630278,,KmPost,"Atrai 23 km,Raninagar 2 km",15660,560.0000000000005,KmPost,,,,
R548,6.642,LRP006a,24.74850564010989,88.9623973054945,,Culvert,Box culvert,15661,612.0000000000001,Culvert,LRP006a,14.318190709046453,D,.
R548,6.758,LRP006b,24.7475274,88.9622778,,Culvert,Box culvert,15662,115.99999999999966,Culvert,LRP006b,10.155562499999998,D,MASH GAIT BOX
R548,6.964,LRP006c,24.7456941,88.9620556,,Culvert,Box culvert,15663,206.0000000000004,Culvert,LRP006c,10.380537634408602,D,KATA- KHALI PC GIDER BRIDGE
R548,7.06,LRP007,24.7449441,88.9619444,,KmPost,Atrai 22 km,15664,95.9999999999992,KmPost,,,,
R548,7.097,LRP007a,24.7445274,88.9619444,,Culvert,Box culvert,15665,37.00000000000081,Culvert,LRP007a,13.762440318302389,D,PASHIM CHARAKUL CUL
R548,7.468,LRP007b,24.741333,88.9608611,,Culvert,Box culvert,15666,370.99999999999955,Culvert,LRP007b,11.09481203007519,D,.
R548,7.87,LRP007c,24.7383608,88.9593889,,"SideRoad,Left",Z5207,15667,402.0000000000001,"SideRoad,Left",LRP007c,16.2288,D,BORO DOARA BOX CULVERT
R548,8.07,LRP008,24.737083,88.9581389,,KmPost,Atrai 21 km Raninagar 0 km,15668,200.00000000000017,KmPost,,,,
R548,8.076,LRP008a,24.7368052,88.958,,Culvert,Slab  culvert,15669,6.000000000000227,Culvert,LRP008a,7.324999999999999,D,.
R548,8.794,LRP008b,24.7338608,88.9524167,,Culvert,Slab Culvert,15670,718.0,Culvert,LRP008b,20.49904411764706,D,Kanch pur Bridge.
R548,9.07,LRP009,24.734333,88.95,,KmPost,Atrai 20 km,15671,275.9999999999998,KmPost,,,,
R548,10.07,LRP010,24.732666,88.9403608,,KmPost,Atrai 19 km,15672,1000.0,KmPost,,,,
R548,11.09,LRP011,24.7286938,88.9313604,,KmPost,Atrai 18 km,15673,1019.9999999999995,KmPost,,,,
R548,12.08,LRP012,24.7209438,88.9290827,,KmPost,Atrai 17 km,15674,990.0000000000002,KmPost,,,,
R548,13.07,LRP013,24.7165833,88.9231938,,KmPost,Atrai 16 km,15675,990.0000000000002,KmPost,,,,
R548,14.08,LRP014,24.7081111,88.9210549,,KmPost,Atrai 15 km,15676,1009.9999999999998,KmPost,,,,
R548,14.132,LRP014a,24.7076944,88.9208327,,Others,Sluice gate,15677,51.9999999999996,Others,LRP014a,5.2,D,KAWTALA BOX CULVERT
R548,15.17,LRP015,24.7013611,88.9263604,,KmPost,Atrai 14 km,15678,1038.0000000000002,KmPost,,,,
R548,16.17,LRP016,24.6934997,88.9252216,,KmPost,Km post missing,15679,1000.0000000000018,KmPost,,,,
R548,17.08,LRP017,24.6853608,88.9257216,,KmPost,Atrai 12 km,15680,909.9999999999966,KmPost,,,,
R548,18.07,LRP018,24.6778882,88.9306938,,KmPost,Atrai 11 km,15681,990.000000000002,KmPost,,,,
R548,18.802,LRP018a,24.6726104,88.9347219,,Culvert,Box culvert,15682,731.9999999999993,Culvert,LRP018a,6.0,D,Darikandi Bridge (L)
R548,19.05,LRP019,24.6703604,88.9356386,,KmPost,Atrai 10 km,15683,248.0000000000011,KmPost,,,,
R548,20.05,LRP020,24.662,88.9368886,,KmPost,Atrai 9 km,15684,1000.0,KmPost,,,,
R548,21.1,LRP021,24.6552778,88.9429163,,KmPost,Atrai 8 km,15685,1050.0000000000007,KmPost,,,,
R548,21.38,LRP021a,24.6537222,88.9431941,,Culvert,Sluice gate,15686,279.9999999999976,Culvert,LRP021a,6.1,D,PURINDA BAZAR BOX CULVERT
R548,22.1,LRP022,24.6472219,88.9416386,,KmPost,Atrai 7 km,15687,720.0000000000024,KmPost,,,,
R548,23.1,LRP023,24.6412774,88.9460552,,KmPost,Atrai 6 km,15688,1000.0,KmPost,,,,
R548,24.09,LRP024,24.6366386,88.9536667,,KmPost,Atrai 5 km,15689,989.9999999999984,KmPost,,,,
R548,25.1,LRP025,24.6319993,88.9624722,,KmPost,Atrai 4 km,15690,1010.0000000000016,KmPost,,,,
R548,26.0,LRP026,24.6251938,88.9680549,,KmPost,Atrai 3 km,15691,899.9999999999986,KmPost,,,,
R548,27.1,LRP027,24.6164444,88.9692493,,KmPost,Atrai 2 km,15692,1100.0000000000014,KmPost,,,,
R548,27.72,LRP027a,24.6137778,88.9738327,,Others,Sluice gate,15693,619.9999999999975,Others,LRP027a,18.935249999999996,D,MALUAKANDI CULVEDRT
R548,27.848,LRP027b,24.6131667,88.9746938,BS,Bridge,Start of bridge,15694,10.043023255813955,Bridge,LRP027b,10.043023255813955,D,Dhulipitha Bridge
R548,27.99,LRP027c,24.6118889,88.9744438,BE,Bridge,End of bridge,15695,11.07076923076923,Bridge,LRP027c,11.07076923076923,D,PATARTEK
R548,28.08,LRP027d,24.6113889,88.9744438,,"SideRoad,Left",Side road left Z5469 to Shingra,15696,89.99999999999986,"SideRoad,Left",LRP027d,11.52,D,RAJAPUR BOX CULVERT
R548,28.1,LRP028,24.6112222,88.9744438,,KmPost,Km post missing,15697,20.000000000003126,KmPost,,,,
R548,28.21,LRP028a,24.6108889,88.9740827,,"SideRoad,Right","Z6856 to Bagmara, start Earth road",15698,109.99999999999943,"SideRoad,Right",LRP028a,20.14310606060606,D,Bhater char Bridge (R)
R548,29.1,LRP029,24.6025833,88.9727493,,KmPost,Km post missing,15699,890.0000000000006,KmPost,,,,
R548,29.65,LRP029a,24.5977497,88.9715549,,Others / Others,Start RHD Natore / Start RHD Natore,15700,549.9999999999972,Others,LRP029a,6.1,D,Anarpara Bridge (L)
R548,30.1,LRP030,24.5939719,88.9702493,,KmPost,Km post missing,15701,450.00000000000284,KmPost,,,,
R548,31.1,LRP031,24.5854997,88.967916,,KmPost,Km post missing,15702,1000.0,KmPost,,,,
R548,36.9,LRP036a,24.5319438,88.96175,,Others,End of Earth Road at Mathagar,15703,5799.999999999997,Others,LRP036a,6.8,D,Baushia bazar Bridge( L )
R548,37.2,LRP037,24.5292771,88.9614444,,KmPost,Km post missing,15704,300.00000000000426,KmPost,,,,
R548,37.869,LRP037a,24.5233049,88.9605556,BS,Bridge,Start Of Bridge,15705,52.22345679012345,Bridge,LRP037a,52.22345679012345,D,Daudkandi Bridge.
R548,37.897,LRP037b,24.523055818429004,88.96054619335348,BE,Bridge,End of Bridge,15706,20.820714285714292,Bridge,LRP037b,20.820714285714292,C,.
R548,38.2,LRP038,24.5203604,88.9604444,,KmPost,Km post missing,15707,303.0000000000044,KmPost,,,,
R548,38.92,LRP038a,24.5141389,88.9599167,BS,Bridge,Start of Bridge,15708,22.162142857142854,Bridge,LRP038a,22.162142857142854,D,Bala Nagar Bridge
