road,chainage,lrp,lat,lon,gap,type,name,id,length,type_simple,LRPName,length_bmms,condition,name_bmms,model_type,geometry,link_no,heavy_truck,medium_truck,small_truck,criticality_score,flood_hazard,flood_cat,index_right,eq_hazard,eq_zone,int_cond_score,seismic_mult,flood_mult,max_hazard_mult,vulnerability_score,target_road,is_junction
N1,19.521,LRP019b,23.6397497,90.5926941,,Culvert,Box culvert,48,643.0000000000007,Culvert,LRP019b,32.3065,D,Railway Flyover,link,POINT (90.5926941 23.6397497),N1-7L,153.0,4419.0,3221.0,42891.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,,False
N1,19.524,LRP020,23.6396941,90.5927219,,KmPost,Km post missing,49,3.0000000000001137,KmPost,,,,,link,POINT (90.5927219 23.6396941),N1-7L,153.0,4419.0,3221.0,42891.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,20.044,LRP020a,23.6358608,90.5948052,,"SideRoad,Left",Left to Sonargaon (Z1089) Right to Morgrapara ( Z1066),50,519.9999999999995,"SideRoad,Left",LRP020a,17.791257485029938,D,KRIBORDI BOX CULVERT,link,POINT (90.5948052 23.6358608),N1-7L,153.0,4419.0,3221.0,42891.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,,True
N1,20.342,LRP020b,23.6341108,90.5970274,BS,Bridge,Bridge start,51,13.226486486486486,Bridge,LRP020b,13.226486486486486,D,Hashara-2 Bridge,bridge,POINT (90.5970274 23.6341108),N1-8L,355.0,5314.0,1116.0,45871.0,0.3,3.0,0.0,0.6,II,4.0,1.5,1.3,1.5,6.0,,False
N1,20.442,LRP020c,23.6335552,90.5976941,BE,Bridge,Bridge end,52,51.874489795918365,Bridge,LRP020c,51.874489795918365,D,.,bridge,POINT (90.5976941 23.6335552),N1-8L,355.0,5314.0,1116.0,45871.0,0.3,3.0,0.0,0.6,II,4.0,1.5,1.3,1.5,6.0,,False
N1,20.524,LRP021,23.6330549,90.5982774,,KmPost,Km post missing,53,82.00000000000074,KmPost,,,,,link,POINT (90.5982774 23.6330549),N1-8L,355.0,5314.0,1116.0,45871.0,0.3,3.0,0.0,0.6,II,1.0,1.5,1.3,1.5,1.5,,False
N1,21.499,LRP021a,23.6262771,90.6042222,,Culvert,Box culvert,54,974.9999999999978,Culvert,LRP021a,6.1,D,PURINDA BAZAR BOX CULVERT,link,POINT (90.6042222 23.6262771),N1-8L,355.0,5314.0,1116.0,45871.0,0.3,3.0,0.0,0.6,II,4.0,1.5,1.3,1.5,6.0,,False
N1,21.629,LRP022,23.6252216,90.6049722,,KmPost,"Ctg 238 km,Comilla 71 km",55,130.00000000000256,KmPost,,,,,link,POINT (90.6049722 23.6252216),N1-8L,355.0,5314.0,1116.0,45871.0,0.3,3.0,0.0,0.6,II,1.0,1.5,1.3,1.5,1.5,,False
N1,21.765,LRP022a,23.6242216,90.6055278,BS,Bridge,Bridge start,56,18.680838709677417,Bridge,LRP022a,18.680838709677417,D,NORTH HIJOLTOLI BRIDGE (1),bridge,POINT (90.6055278 23.6242216),N1-8L,355.0,5314.0,1116.0,45871.0,0.3,3.0,0.0,0.6,II,4.0,1.5,1.3,1.5,6.0,,False
N1,21.993,LRP022b,23.6224993,90.6066944,BE,Bridge,Bridge end,57,5.441219512195122,Bridge,LRP022b,5.441219512195122,D,FOTIKCHORI BAZAR BOX CULVERT,bridge,POINT (90.6066944 23.6224993),N1-8L,355.0,5314.0,1116.0,45871.0,0.6,2.0,0.0,0.6,II,4.0,1.5,1.6,1.6,6.4,,False
N1,22.252,LRP022c,23.6204716,90.6079722,BS,Bridge,Bridge start,58,11.473103448275864,Bridge,LRP022c,11.473103448275864,C,.,bridge,POINT (90.6079722 23.6204716),N1-8L,355.0,5314.0,1116.0,45871.0,0.6,2.0,0.0,0.6,II,3.0,1.5,1.6,1.6,4.800000000000001,,False
N1,22.374,LRP022d,23.6195271,90.6085833,BE,Bridge,Bridge end,59,4.575,Bridge,LRP022d,4.575,B,NORTH HIJOLTOLI CULVERT (2),bridge,POINT (90.6085833 23.6195271),N1-8L,355.0,5314.0,1116.0,45871.0,,,0.0,0.6,II,2.0,1.5,,1.5,3.0,,False
N1,22.629,LRP023,23.6173604,90.6096944,,KmPost,Km post missing,60,255.00000000000256,KmPost,,,,,link,POINT (90.6096944 23.6173604),N1-8L,355.0,5314.0,1116.0,45871.0,0.6,2.0,0.0,0.6,II,1.0,1.5,1.6,1.6,1.6,,False
N1,23.564,LRP023a,23.6095556,90.6121944,,Bridge,Meghna  bridge,61,22.282499999999995,Bridge,LRP023a,22.282499999999995,D,ASHIR CHAR (Right),bridge,POINT (90.6121944 23.6095556),N1-8L,355.0,5314.0,1116.0,45871.0,,,0.0,0.6,II,4.0,1.5,,1.5,6.0,,False
N1,23.629,LRP024,23.609,90.6124722,,KmPost,Km post missing,62,65.00000000000128,KmPost,,,,,link,POINT (90.6124722 23.609),N1-9L,244.0,4999.0,1005.0,41668.0,,,0.0,0.6,II,1.0,1.5,,1.5,1.5,,False
N1,24.503,LRP024a,23.6018611,90.6159722,,Bridge,Bridge end,63,32.48182481751825,Bridge,LRP024a,32.48182481751825,D,Meghna Bridge,bridge,POINT (90.6159722 23.6018611),N1-9L,244.0,4999.0,1005.0,41668.0,0.6,2.0,0.0,0.6,II,4.0,1.5,1.6,1.6,6.4,,False
N1,24.629,LRP025,23.6009444,90.6165556,,KmPost,Km post missing,64,126.00000000000122,KmPost,,,,,link,POINT (90.6165556 23.6009444),N1-9L,244.0,4999.0,1005.0,41668.0,0.6,2.0,0.0,0.6,II,1.0,1.5,1.6,1.6,1.6,,False
N1,25.629,LRP026,23.5959997,90.624666,,KmPost,Km post missing,65,1000.0,KmPost,,,,,link,POINT (90.624666 23.5959997),N1-9L,244.0,4999.0,1005.0,41668.0,0.6,2.0,0.0,0.6,II,1.0,1.5,1.6,1.6,1.6,,False
N1,25.639,LRP026a,23.5959441,90.6246938,,Culvert,Box culvert,66,9.99999999999801,Culvert,LRP026a,14.939922480620154,D,TATULTALA CULVERT,link,POINT (90.6246938 23.5959441),N1-9L,244.0,4999.0,1005.0,41668.0,0.6,2.0,0.0,0.6,II,4.0,1.5,1.6,1.6,6.4,,False
